id,data_size_bytes,security_level,latency_sensitivity,bandwidth_constraint,recommended_kem,recommended_signature
131,799336,3,low,True,ML-KEM-1024,ML-DSA-87
132,997371,4,low,False,ML-KEM-1024,ML-DSA-87
133,246016,3,medium,True,ML-KEM-1024,ML-DSA-87
134,53534,5,low,False,ML-KEM-768,ML-DSA-87
135,520800,2,low,False,ML-KEM-1024,ML-DSA-65
136,25055,1,high,False,ML-KEM-768,ML-DSA-44
137,311658,4,low,False,ML-KEM-1024,ML-DSA-87
138,258794,2,medium,True,ML-KEM-1024,ML-DSA-87
139,153816,2,high,True,ML-KEM-1024,ML-DSA-87
140,378555,4,high,False,ML-KEM-1024,ML-DSA-87
141,521641,4,medium,True,ML-KEM-1024,ML-DSA-87
142,410022,5,low,True,ML-KEM-1024,ML-DSA-87
143,697145,3,high,True,ML-KEM-1024,ML-DSA-87
144,629093,5,low,True,ML-KEM-1024,ML-DSA-87
145,139374,2,medium,False,ML-KEM-1024,ML-DSA-65
146,994807,5,low,False,ML-KEM-1024,ML-DSA-87
147,748343,2,low,True,ML-KEM-1024,ML-DSA-87
148,118009,3,high,True,ML-KEM-1024,ML-DSA-87
149,615389,5,low,True,ML-KEM-1024,ML-DSA-87
150,750758,5,low,False,ML-KEM-1024,ML-DSA-87
151,860665,4,medium,False,ML-KEM-1024,ML-DSA-87
152,114471,4,low,True,ML-KEM-1024,ML-DSA-87
153,19103,1,low,False,ML-KEM-768,ML-DSA-65
154,188518,2,medium,True,ML-KEM-1024,ML-DSA-87
155,662652,4,low,True,ML-KEM-1024,ML-DSA-87
156,981560,5,low,False,ML-KEM-1024,ML-DSA-87
157,720997,3,high,False,ML-KEM-1024,ML-DSA-44
158,733770,1,low,False,ML-KEM-1024,ML-DSA-65
159,780705,5,low,False,ML-KEM-1024,ML-DSA-87
160,251798,1,medium,True,ML-KEM-1024,ML-DSA-87
161,202212,2,medium,True,ML-KEM-1024,ML-DSA-87
162,907238,5,low,True,ML-KEM-1024,ML-DSA-87
163,936430,3,medium,False,ML-KEM-1024,ML-DSA-65
164,945087,4,medium,False,ML-KEM-1024,ML-DSA-87
165,562254,2,medium,True,ML-KEM-1024,ML-DSA-87
166,588357,1,medium,False,ML-KEM-1024,ML-DSA-65
167,104319,3,medium,True,ML-KEM-1024,ML-DSA-87
168,112346,3,low,False,ML-KEM-1024,ML-DSA-65
169,109156,5,medium,False,ML-KEM-1024,ML-DSA-87
170,633093,1,high,True,ML-KEM-1024,ML-DSA-87
171,151926,2,high,False,ML-KEM-1024,ML-DSA-44
172,933294,3,low,True,ML-KEM-1024,ML-DSA-87
173,40400,3,medium,True,ML-KEM-768,ML-DSA-87
174,640505,2,medium,False,ML-KEM-1024,ML-DSA-65
175,118148,4,low,True,ML-KEM-1024,ML-DSA-87
176,437981,4,medium,True,ML-KEM-1024,ML-DSA-87
177,453087,5,low,True,ML-KEM-1024,ML-DSA-87
178,409354,3,low,False,ML-KEM-1024,ML-DSA-65
179,598594,2,medium,True,ML-KEM-1024,ML-DSA-87
180,941803,5,medium,True,ML-KEM-1024,ML-DSA-87
181,436190,4,low,True,ML-KEM-1024,ML-DSA-87
182,613931,1,high,False,ML-KEM-1024,ML-DSA-44
183,251211,4,medium,True,ML-KEM-1024,ML-DSA-87
184,109406,1,medium,False,ML-KEM-1024,ML-DSA-65
185,383017,5,medium,True,ML-KEM-1024,ML-DSA-87
186,304563,3,high,False,ML-KEM-1024,ML-DSA-44
187,881813,4,low,False,ML-KEM-1024,ML-DSA-87
188,25536,1,high,False,ML-KEM-768,ML-DSA-44
189,328607,5,high,True,ML-KEM-1024,ML-DSA-87
190,387819,4,low,True,ML-KEM-1024,ML-DSA-87
191,336996,4,low,True,ML-KEM-1024,ML-DSA-87
192,505927,5,high,False,ML-KEM-1024,ML-DSA-87
193,952969,5,medium,True,ML-KEM-1024,ML-DSA-87
194,280695,1,high,False,ML-KEM-1024,ML-DSA-44
195,867608,1,low,False,ML-KEM-1024,ML-DSA-65
196,668144,5,medium,False,ML-KEM-1024,ML-DSA-87
197,876700,4,low,False,ML-KEM-1024,ML-DSA-87
198,396109,4,high,False,ML-KEM-1024,ML-DSA-87
199,378351,4,medium,False,ML-KEM-1024,ML-DSA-87
200,605721,2,medium,False,ML-KEM-1024,ML-DSA-65
201,542352,1,medium,False,ML-KEM-1024,ML-DSA-65
202,916439,3,low,False,ML-KEM-1024,ML-DSA-65
203,530151,4,high,False,ML-KEM-1024,ML-DSA-87
204,78438,5,medium,True,ML-KEM-768,ML-DSA-87
205,317224,5,low,False,ML-KEM-1024,ML-DSA-87
206,182639,3,medium,False,ML-KEM-1024,ML-DSA-65
207,11201,3,low,False,ML-KEM-768,ML-DSA-65
208,825417,2,high,True,ML-KEM-1024,ML-DSA-87
209,507115,1,high,False,ML-KEM-1024,ML-DSA-44
210,338843,4,high,True,ML-KEM-1024,ML-DSA-87
211,59469,4,medium,False,ML-KEM-768,ML-DSA-87
212,299027,3,medium,False,ML-KEM-1024,ML-DSA-65
213,997845,2,medium,True,ML-KEM-1024,ML-DSA-87
214,998269,1,high,True,ML-KEM-1024,ML-DSA-87
215,161010,2,high,True,ML-KEM-1024,ML-DSA-87
216,112276,4,low,False,ML-KEM-1024,ML-DSA-87
217,619797,1,low,True,ML-KEM-1024,ML-DSA-87
218,907800,1,low,False,ML-KEM-1024,ML-DSA-65
219,580531,1,medium,True,ML-KEM-1024,ML-DSA-87
220,267422,1,low,True,ML-KEM-1024,ML-DSA-87
221,23677,3,low,False,ML-KEM-768,ML-DSA-65
222,309882,1,medium,False,ML-KEM-1024,ML-DSA-65
223,981059,4,high,False,ML-KEM-1024,ML-DSA-87
224,722590,4,medium,True,ML-KEM-1024,ML-DSA-87
225,391897,1,low,False,ML-KEM-1024,ML-DSA-65
226,740603,2,high,False,ML-KEM-1024,ML-DSA-44
227,933985,5,low,True,ML-KEM-1024,ML-DSA-87
228,97431,5,low,False,ML-KEM-768,ML-DSA-87
229,816270,4,low,True,ML-KEM-1024,ML-DSA-87
230,311032,3,high,True,ML-KEM-1024,ML-DSA-87
231,426014,4,high,False,ML-KEM-1024,ML-DSA-87
232,471350,4,medium,False,ML-KEM-1024,ML-DSA-87
233,700181,3,medium,False,ML-KEM-1024,ML-DSA-65
234,329007,2,low,True,ML-KEM-1024,ML-DSA-87
235,610711,2,medium,True,ML-KEM-1024,ML-DSA-87
236,30076,4,medium,False,ML-KEM-768,ML-DSA-87
237,907414,2,high,True,ML-KEM-1024,ML-DSA-87
238,341580,4,medium,False,ML-KEM-1024,ML-DSA-87
239,425807,5,high,False,ML-KEM-1024,ML-DSA-87
240,466702,4,medium,False,ML-KEM-1024,ML-DSA-87
241,139226,1,low,True,ML-KEM-1024,ML-DSA-87
242,426570,4,medium,False,ML-KEM-1024,ML-DSA-87
243,955008,3,high,True,ML-KEM-1024,ML-DSA-87
244,926970,5,high,True,ML-KEM-1024,ML-DSA-87
245,4309,4,high,True,ML-KEM-512,ML-DSA-87
246,256734,2,low,True,ML-KEM-1024,ML-DSA-87
247,884100,2,medium,True,ML-KEM-1024,ML-DSA-87
248,169624,5,medium,True,ML-KEM-1024,ML-DSA-87
249,252390,4,medium,False,ML-KEM-1024,ML-DSA-87
250,940399,2,low,True,ML-KEM-1024,ML-DSA-87
251,215772,4,medium,True,ML-KEM-1024,ML-DSA-87
252,628208,2,high,False,ML-KEM-1024,ML-DSA-44
253,555107,3,medium,False,ML-KEM-1024,ML-DSA-65
254,996865,3,medium,False,ML-KEM-1024,ML-DSA-65
255,783355,1,high,False,ML-KEM-1024,ML-DSA-44
256,53247,1,medium,True,ML-KEM-768,ML-DSA-87
257,57195,3,low,True,ML-KEM-768,ML-DSA-87
258,595922,3,low,False,ML-KEM-1024,ML-DSA-65
259,84125,1,medium,False,ML-KEM-768,ML-DSA-65
260,836554,3,high,False,ML-KEM-1024,ML-DSA-44
261,564525,1,low,False,ML-KEM-1024,ML-DSA-65
262,261687,5,low,False,ML-KEM-1024,ML-DSA-87
263,166885,5,medium,False,ML-KEM-1024,ML-DSA-87
264,253182,5,medium,False,ML-KEM-1024,ML-DSA-87
265,830071,2,high,True,ML-KEM-1024,ML-DSA-87
266,204065,2,high,True,ML-KEM-1024,ML-DSA-87
267,830306,2,medium,True,ML-KEM-1024,ML-DSA-87
268,240538,1,high,True,ML-KEM-1024,ML-DSA-87
269,612434,3,high,True,ML-KEM-1024,ML-DSA-87
270,946546,3,high,False,ML-KEM-1024,ML-DSA-44
271,491738,1,low,False,ML-KEM-1024,ML-DSA-65
272,816176,5,low,False,ML-KEM-1024,ML-DSA-87
273,604123,3,medium,True,ML-KEM-1024,ML-DSA-87
274,44169,1,low,True,ML-KEM-768,ML-DSA-87
275,164010,1,low,False,ML-KEM-1024,ML-DSA-65
276,469051,1,high,False,ML-KEM-1024,ML-DSA-44
277,664790,3,medium,True,ML-KEM-1024,ML-DSA-87
278,94366,2,high,False,ML-KEM-768,ML-DSA-44
279,116276,5,low,True,ML-KEM-1024,ML-DSA-87
280,935203,1,high,False,ML-KEM-1024,ML-DSA-44
281,682971,2,medium,False,ML-KEM-1024,ML-DSA-65
282,463789,4,high,False,ML-KEM-1024,ML-DSA-87
283,343298,2,high,True,ML-KEM-1024,ML-DSA-87
284,997699,5,medium,False,ML-KEM-1024,ML-DSA-87
285,268229,4,high,True,ML-KEM-1024,ML-DSA-87
286,765583,4,low,False,ML-KEM-1024,ML-DSA-87
287,876163,2,low,True,ML-KEM-1024,ML-DSA-87
288,583155,1,medium,True,ML-KEM-1024,ML-DSA-87
289,966588,5,low,False,ML-KEM-1024,ML-DSA-87
290,362042,1,high,True,ML-KEM-1024,ML-DSA-87
291,517034,3,medium,True,ML-KEM-1024,ML-DSA-87
292,824901,1,high,False,ML-KEM-1024,ML-DSA-44
293,392798,5,high,False,ML-KEM-1024,ML-DSA-87
294,510537,3,medium,False,ML-KEM-1024,ML-DSA-65
295,495242,4,medium,True,ML-KEM-1024,ML-DSA-87
296,719572,3,high,False,ML-KEM-1024,ML-DSA-44
297,230614,2,medium,True,ML-KEM-1024,ML-DSA-87
298,842152,2,medium,True,ML-KEM-1024,ML-DSA-87
299,527838,1,low,False,ML-KEM-1024,ML-DSA-65
300,391348,2,high,True,ML-KEM-1024,ML-DSA-87
301,549532,2,medium,True,ML-KEM-1024,ML-DSA-87
302,827602,2,high,False,ML-KEM-1024,ML-DSA-44
303,646668,4,medium,True,ML-KEM-1024,ML-DSA-87
304,586547,5,low,False,ML-KEM-1024,ML-DSA-87
305,188562,5,low,True,ML-KEM-1024,ML-DSA-87
306,652266,1,medium,True,ML-KEM-1024,ML-DSA-87
307,562375,5,medium,False,ML-KEM-1024,ML-DSA-87
308,989622,4,medium,True,ML-KEM-1024,ML-DSA-87
309,152509,3,high,True,ML-KEM-1024,ML-DSA-87
310,535956,4,high,False,ML-KEM-1024,ML-DSA-87
311,802089,1,medium,False,ML-KEM-1024,ML-DSA-65
312,20216,5,medium,False,ML-KEM-768,ML-DSA-87
313,593154,2,high,False,ML-KEM-1024,ML-DSA-44
314,935560,5,medium,True,ML-KEM-1024,ML-DSA-87
315,296952,2,high,True,ML-KEM-1024,ML-DSA-87
316,390353,2,low,False,ML-KEM-1024,ML-DSA-65
317,778754,2,medium,True,ML-KEM-1024,ML-DSA-87
318,745603,3,medium,True,ML-KEM-1024,ML-DSA-87
319,1790,1,high,False,ML-KEM-512,ML-DSA-44
320,666437,1,medium,True,ML-KEM-1024,ML-DSA-87
321,260538,4,medium,True,ML-KEM-1024,ML-DSA-87
322,576905,3,high,True,ML-KEM-1024,ML-DSA-87
323,85952,1,medium,True,ML-KEM-768,ML-DSA-87
324,425100,1,high,True,ML-KEM-1024,ML-DSA-87
325,553134,3,medium,False,ML-KEM-1024,ML-DSA-65
326,281642,1,low,True,ML-KEM-1024,ML-DSA-87
327,403038,2,high,True,ML-KEM-1024,ML-DSA-87
328,661215,3,low,False,ML-KEM-1024,ML-DSA-65
329,687570,3,low,True,ML-KEM-1024,ML-DSA-87
330,637922,1,medium,False,ML-KEM-1024,ML-DSA-65
331,609007,3,low,False,ML-KEM-1024,ML-DSA-65
332,29264,2,medium,False,ML-KEM-768,ML-DSA-65
333,728567,5,medium,False,ML-KEM-1024,ML-DSA-87
334,648617,5,high,True,ML-KEM-1024,ML-DSA-87
335,783312,3,medium,True,ML-KEM-1024,ML-DSA-87
336,702788,3,high,True,ML-KEM-1024,ML-DSA-87
337,554991,5,medium,False,ML-KEM-1024,ML-DSA-87
338,46946,5,medium,False,ML-KEM-768,ML-DSA-87
339,413989,4,high,True,ML-KEM-1024,ML-DSA-87
340,164336,2,high,False,ML-KEM-1024,ML-DSA-44
341,622944,2,medium,True,ML-KEM-1024,ML-DSA-87
342,446803,3,medium,False,ML-KEM-1024,ML-DSA-65
343,230315,2,medium,False,ML-KEM-1024,ML-DSA-65
344,125036,1,high,True,ML-KEM-1024,ML-DSA-87
345,805480,4,low,True,ML-KEM-1024,ML-DSA-87
346,508656,4,low,False,ML-KEM-1024,ML-DSA-87
347,363257,3,high,True,ML-KEM-1024,ML-DSA-87
348,533957,4,medium,True,ML-KEM-1024,ML-DSA-87
349,430575,3,medium,True,ML-KEM-1024,ML-DSA-87
350,450611,2,low,False,ML-KEM-1024,ML-DSA-65
351,252716,1,high,True,ML-KEM-1024,ML-DSA-87
352,167851,1,low,True,ML-KEM-1024,ML-DSA-87
353,332659,2,high,True,ML-KEM-1024,ML-DSA-87
354,548012,3,medium,True,ML-KEM-1024,ML-DSA-87
355,934955,1,medium,True,ML-KEM-1024,ML-DSA-87
356,90385,5,low,False,ML-KEM-768,ML-DSA-87
357,475186,3,high,False,ML-KEM-1024,ML-DSA-44
358,637000,4,low,False,ML-KEM-1024,ML-DSA-87
359,283629,3,low,False,ML-KEM-1024,ML-DSA-65
360,143601,5,high,False,ML-KEM-1024,ML-DSA-87
361,897104,2,medium,False,ML-KEM-1024,ML-DSA-65
362,394511,1,medium,True,ML-KEM-1024,ML-DSA-87
363,634701,5,low,True,ML-KEM-1024,ML-DSA-87
364,363050,3,high,False,ML-KEM-1024,ML-DSA-44
365,990370,3,high,True,ML-KEM-1024,ML-DSA-87
366,877571,3,low,False,ML-KEM-1024,ML-DSA-65
367,11060,1,low,False,ML-KEM-768,ML-DSA-65
368,32826,2,medium,False,ML-KEM-768,ML-DSA-65
369,176,1,medium,False,ML-KEM-768,ML-DSA-65
370,145341,5,high,True,ML-KEM-1024,ML-DSA-87
371,478818,5,medium,True,ML-KEM-1024,ML-DSA-87
372,145567,1,low,True,ML-KEM-1024,ML-DSA-87
373,487658,3,low,False,ML-KEM-1024,ML-DSA-65
374,248119,1,low,True,ML-KEM-1024,ML-DSA-87
375,526379,4,high,True,ML-KEM-1024,ML-DSA-87
376,190642,3,high,True,ML-KEM-1024,ML-DSA-87
377,659912,1,high,True,ML-KEM-1024,ML-DSA-87
378,829891,1,medium,True,ML-KEM-1024,ML-DSA-87
379,989346,2,medium,False,ML-KEM-1024,ML-DSA-65
380,677889,3,high,True,ML-KEM-1024,ML-DSA-87
381,598175,4,low,False,ML-KEM-1024,ML-DSA-87
382,236831,3,medium,True,ML-KEM-1024,ML-DSA-87
383,360206,5,medium,False,ML-KEM-1024,ML-DSA-87
384,778234,3,low,False,ML-KEM-1024,ML-DSA-65
385,998303,5,low,False,ML-KEM-1024,ML-DSA-87
386,365976,4,low,False,ML-KEM-1024,ML-DSA-87
387,545268,5,low,True,ML-KEM-1024,ML-DSA-87
388,132663,3,low,True,ML-KEM-1024,ML-DSA-87
389,57096,4,high,True,ML-KEM-768,ML-DSA-87
390,493090,3,low,True,ML-KEM-1024,ML-DSA-87
391,783550,3,low,True,ML-KEM-1024,ML-DSA-87
392,458404,1,medium,False,ML-KEM-1024,ML-DSA-65
393,762554,4,high,False,ML-KEM-1024,ML-DSA-87
394,84586,1,low,False,ML-KEM-768,ML-DSA-65
395,293141,3,low,False,ML-KEM-1024,ML-DSA-65
396,933757,2,medium,True,ML-KEM-1024,ML-DSA-87
397,533447,4,high,True,ML-KEM-1024,ML-DSA-87
398,610156,3,low,False,ML-KEM-1024,ML-DSA-65
399,12466,4,medium,True,ML-KEM-768,ML-DSA-87
400,786138,2,low,True,ML-KEM-1024,ML-DSA-87
401,535037,3,high,True,ML-KEM-1024,ML-DSA-87
402,835640,5,low,False,ML-KEM-1024,ML-DSA-87
403,356759,4,medium,False,ML-KEM-1024,ML-DSA-87
404,950285,2,high,True,ML-KEM-1024,ML-DSA-87
405,336988,1,low,True,ML-KEM-1024,ML-DSA-87
406,89148,5,medium,False,ML-KEM-768,ML-DSA-87
407,186318,5,medium,False,ML-KEM-1024,ML-DSA-87
408,411576,3,medium,True,ML-KEM-1024,ML-DSA-87
409,14017,5,low,True,ML-KEM-768,ML-DSA-87
410,689660,5,low,False,ML-KEM-1024,ML-DSA-87
411,891623,3,low,True,ML-KEM-1024,ML-DSA-87
412,848079,1,medium,False,ML-KEM-1024,ML-DSA-65
413,837655,4,low,True,ML-KEM-1024,ML-DSA-87
414,292267,2,high,True,ML-KEM-1024,ML-DSA-87
415,413566,2,medium,False,ML-KEM-1024,ML-DSA-65
416,384844,5,high,False,ML-KEM-1024,ML-DSA-87
417,824401,3,high,False,ML-KEM-1024,ML-DSA-44
418,501443,5,medium,False,ML-KEM-1024,ML-DSA-87
419,43896,4,low,False,ML-KEM-768,ML-DSA-87
420,17010,3,low,True,ML-KEM-768,ML-DSA-87
421,173685,4,high,False,ML-KEM-1024,ML-DSA-87
422,810195,2,low,True,ML-KEM-1024,ML-DSA-87
423,440027,1,high,True,ML-KEM-1024,ML-DSA-87
424,229789,3,high,False,ML-KEM-1024,ML-DSA-44
425,555282,5,high,False,ML-KEM-1024,ML-DSA-87
426,68231,4,high,True,ML-KEM-768,ML-DSA-87
427,481120,1,medium,False,ML-KEM-1024,ML-DSA-65
428,683149,5,medium,True,ML-KEM-1024,ML-DSA-87
429,460979,2,high,True,ML-KEM-1024,ML-DSA-87
430,1308,2,medium,True,ML-KEM-768,ML-DSA-87
431,673746,2,low,False,ML-KEM-1024,ML-DSA-65
432,483263,2,low,False,ML-KEM-1024,ML-DSA-65
433,579544,1,low,False,ML-KEM-1024,ML-DSA-65
434,492557,4,high,False,ML-KEM-1024,ML-DSA-87
435,162877,5,low,True,ML-KEM-1024,ML-DSA-87
436,928484,2,medium,True,ML-KEM-1024,ML-DSA-87
437,327864,1,high,False,ML-KEM-1024,ML-DSA-44
438,620578,3,high,True,ML-KEM-1024,ML-DSA-87
439,973189,5,high,True,ML-KEM-1024,ML-DSA-87
440,170162,4,medium,False,ML-KEM-1024,ML-DSA-87
441,471916,3,medium,False,ML-KEM-1024,ML-DSA-65
442,823543,2,low,False,ML-KEM-1024,ML-DSA-65
443,333885,4,medium,False,ML-KEM-1024,ML-DSA-87
444,832327,5,high,False,ML-KEM-1024,ML-DSA-87
445,693563,5,medium,False,ML-KEM-1024,ML-DSA-87
446,462787,5,medium,True,ML-KEM-1024,ML-DSA-87
447,386705,2,medium,True,ML-KEM-1024,ML-DSA-87
448,827726,4,low,True,ML-KEM-1024,ML-DSA-87
449,228398,3,medium,True,ML-KEM-1024,ML-DSA-87
450,957068,2,low,False,ML-KEM-1024,ML-DSA-65
451,580913,1,high,True,ML-KEM-1024,ML-DSA-87
452,605758,2,low,False,ML-KEM-1024,ML-DSA-65
453,664319,2,high,False,ML-KEM-1024,ML-DSA-44
454,284736,3,high,True,ML-KEM-1024,ML-DSA-87
455,255951,4,low,True,ML-KEM-1024,ML-DSA-87
456,23145,4,medium,True,ML-KEM-768,ML-DSA-87
457,595976,1,low,True,ML-KEM-1024,ML-DSA-87
458,112195,2,medium,True,ML-KEM-1024,ML-DSA-87
